Length,Race,Price
50.8,2,998.0
39.4,2,884.0
36.6,5,466.0
39.1,2,881.0
42.1,1,1041.0
33.0,4,560.0
48.6,1,1106.0
33.9,5,439.0
44.8,3,808.0
40.3,4,633.0
47.9,1,1099.0
36.8,3,728.0
48.6,1,1106.0
44.0,4,670.0
38.6,5,486.0
44.5,3,805.0
39.5,5,495.0
38.5,5,485.0
32.1,4,551.0
42.5,5,525.0
37.0,3,730.0
32.2,4,552.0
43.8,5,538.0
47.7,2,967.0
39.9,4,629.0
35.6,4,586.0
45.6,4,686.0
35.8,5,458.0
37.5,5,475.0
46.4,3,824.0
46.4,1,1084.0
50.8,2,998.0
35.2,5,452.0
35.0,3,710.0
51.8,1,1138.0
47.7,2,967.0
30.7,5,407.0
38.1,2,871.0
34.1,5,441.0
41.9,2,909.0
52.5,1,1145.0
36.8,2,858.0
36.6,4,596.0
40.8,3,768.0
38.9,2,879.0
41.0,3,770.0
35.3,4,583.0
46.5,4,695.0
43.5,3,795.0
50.7,2,997.0
48.3,1,1103.0
49.4,1,1114.0
48.9,2,979.0
49.7,1,1117.0
39.3,3,753.0
38.5,3,745.0
41.9,3,779.0
39.1,4,621.0
48.3,1,1103.0
39.8,3,758.0
36.3,5,463.0
43.3,5,533.0
40.7,3,767.0
41.9,5,519.0
37.0,5,470.0
39.1,3,751.0
32.8,5,428.0
39.0,4,620.0
46.2,2,952.0
38.9,3,749.0
51.6,1,1136.0
38.2,1,1002.0
40.1,5,501.0
32.0,5,420.0
32.5,5,425.0
41.2,4,642.0
38.0,5,480.0
46.7,1,1087.0
40.6,3,766.0
42.4,1,1044.0
39.6,1,1016.0
35.0,4,580.0
41.7,1,1037.0
35.2,3,712.0
37.3,3,733.0
41.0,5,510.0
46.5,2,955.0
48.8,3,848.0
41.7,3,777.0
50.4,1,1124.0
43.3,2,923.0
44.6,4,676.0
45.1,4,681.0
38.9,5,489.0
42.1,1,1041.0
43.5,5,535.0
41.4,2,904.0
43.4,1,1054.0
34.9,4,579.0
45.7,1,1077.0
41.3,2,903.0
34.3,3,703.0
42.3,2,913.0
44.8,2,938.0
34.3,5,443.0
36.1,2,851.0
38.1,5,481.0
47.1,3,831.0
32.1,4,551.0
36.0,5,460.0
41.1,5,511.0
40.3,3,763.0
45.8,4,688.0
44.2,5,542.0
33.4,4,564.0
43.1,4,661.0
47.6,1,1096.0
35.9,4,589.0
38.6,1,1006.0
43.7,5,537.0
43.7,3,797.0
44.8,1,1068.0
50.2,2,992.0
42.9,2,919.0
30.8,5,408.0
35.6,3,716.0
41.0,1,1030.0
40.6,1,1026.0
44.5,2,935.0
43.8,4,668.0
51.4,1,1134.0
43.7,4,667.0
34.3,3,703.0
35.3,4,583.0
37.4,4,604.0
33.3,4,563.0
37.3,2,863.0
45.2,2,942.0
35.1,3,711.0
39.7,3,757.0
41.2,3,772.0
40.6,3,766.0
50.7,1,1127.0
43.2,3,792.0
36.4,2,854.0
34.4,5,444.0
36.3,5,463.0
48.2,2,972.0
32.4,4,554.0
36.3,4,593.0
34.8,3,708.0
47.1,1,1091.0
47.1,1,1091.0
35.8,5,458.0
37.0,4,600.0
35.5,3,715.0
39.5,2,885.0
52.0,1,1140.0
40.1,1,1021.0
40.2,2,892.0
34.4,4,574.0
52.5,1,1145.0
44.1,1,1061.0
44.2,5,542.0
42.1,4,651.0
42.9,5,529.0
47.8,2,968.0
45.4,2,944.0
42.4,2,914.0
32.9,5,429.0
34.6,4,576.0
39.9,5,499.0
46.2,1,1082.0
43.8,3,798.0
41.6,4,646.0
44.2,5,542.0
40.9,2,899.0
42.3,1,1043.0
36.3,4,593.0
45.6,4,686.0
40.4,5,504.0
44.5,4,675.0
38.9,1,1009.0
38.2,4,612.0
42.4,2,914.0
39.3,1,1013.0
41.9,4,649.0
50.7,2,997.0
41.1,2,901.0
40.1,5,501.0
34.2,3,702.0
37.6,5,476.0
36.0,4,590.0
40.8,5,508.0
43.1,5,531.0
38.2,5,482.0
43.3,4,663.0
45.5,2,945.0
45.7,3,817.0
30.5,5,405.0
41.7,3,777.0
41.5,5,515.0
39.5,5,495.0
37.9,4,609.0
36.3,2,853.0
39.6,4,626.0
36.1,4,591.0
46.9,3,829.0
48.9,3,849.0
41.4,3,774.0
48.8,2,978.0
43.1,2,921.0
33.1,4,561.0
47.0,3,830.0
40.0,3,760.0
46.1,2,951.0
36.2,2,852.0
36.3,4,593.0
40.9,3,769.0
39.6,3,756.0
38.2,4,612.0
40.2,3,762.0
48.3,3,843.0
38.0,2,870.0
43.5,1,1055.0
43.4,5,534.0
39.1,3,751.0
35.5,4,585.0
36.9,4,599.0
38.0,2,870.0
44.7,2,937.0
40.2,1,1022.0
42.8,4,658.0
41.7,4,647.0
44.2,2,932.0
33.7,4,567.0
46.6,2,956.0
37.2,3,732.0
39.6,2,886.0
40.9,4,639.0
39.5,4,625.0
49.0,1,1110.0
50.4,2,994.0
30.9,5,409.0
51.5,1,1135.0
34.9,5,449.0
38.8,3,748.0
39.2,2,882.0
37.4,2,864.0
40.8,4,638.0
36.7,5,467.0
50.6,1,1126.0
46.8,1,1088.0
41.9,4,649.0
43.6,2,926.0
43.1,4,661.0
40.7,3,767.0
45.0,1,1070.0
38.1,5,481.0
46.6,4,696.0
43.7,1,1057.0
40.7,4,637.0
39.2,1,1012.0
39.9,3,759.0
48.8,2,978.0
52.8,1,1148.0
37.1,4,601.0
52.6,1,1146.0
35.4,3,714.0
42.7,5,527.0
42.5,3,785.0
41.5,5,515.0
32.9,4,559.0
32.0,5,420.0
43.1,5,531.0
47.2,2,962.0
34.8,3,708.0
32.0,5,420.0
38.2,1,1002.0
43.1,4,661.0
39.5,2,885.0
35.5,3,715.0
42.5,2,915.0
42.6,3,786.0
34.4,5,444.0
46.5,4,695.0
42.4,4,654.0
47.9,1,1099.0
52.0,1,1140.0
45.2,1,1072.0
43.8,4,668.0
37.7,2,867.0
49.2,1,1112.0
43.0,4,660.0
50.1,2,991.0
40.6,4,636.0
32.2,4,552.0
44.8,4,678.0
34.2,5,442.0
45.2,2,942.0
47.0,4,700.0
45.0,4,680.0
46.5,2,955.0
39.4,3,754.0
45.4,3,814.0
37.2,4,602.0
51.6,1,1136.0
45.2,3,812.0
40.8,4,638.0
36.8,5,468.0
40.6,5,506.0
